V1		bench	correl
286	sh600801	华新水泥	sz399001	0.649634933119217
287	sh600804	鹏博士	sh000905	0.650239959658082
288	sh600805	悦达投资	sh000905	0.740897409558513
289	sh600808	马钢股份	sh000001	0.702237095997358
290	sh600809	山西汾酒	sz399001	0.554118103858993
291	sh600811	东方集团	sh000001	0.738118270730795
292	sh600816	安信信托	sh000001	0.594345852053952
293	sh600820	隧道股份	sh000905	0.717767082142402
294	sh600823	世茂股份	sh000300	0.696822444208724
295	sh600825	新华传媒	sh000905	0.726720850861588
296	sh600826	兰生股份	sh000905	0.694364755477606
297	sh600827	百联股份	sh000905	0.668788582613362
298	sh600831	广电网络	sh000905	0.743040896499377
299	sh600835	上海机电	sh000905	0.706032031289594
300	sh600837	海通证券	sh000016	0.82262071794865
301	sh600839	四川长虹	sh000905	0.6763552087553
302	sh600848	上海临港	sh000905	0.613614130605538
303	sh600850	华东电脑	sh000905	0.629152244180082
304	sh600851	海欣股份	sh000905	0.668281535351816
305	sh600859	王府井	sh000905	0.682969072137925
306	sh600862	中航高科	sh000905	0.681221699269326
307	sh600863	内蒙华电	sh000001	0.660487675933595
308	sh600864	哈投股份	sh000905	0.677249240218189
309	sh600867	通化东宝	sh000905	0.630056036749259
310	sh600869	智慧能源	sh000905	0.539992408641659
311	sh600871	石化油服	sh000905	0.52645416036772
312	sh600872	中炬高新	sh000905	0.635915399931257
313	sh600873	梅花生物	sh000905	0.603166916921743
314	sh600874	创业环保	sh000905	0.676810938001727
315	sh600875	东方电气	sh000905	0.749273885119924
316	sh600879	航天电子	sh000905	0.651770138969638
317	sh600880	博瑞传播	sz399006	0.698511630574463
318	sh600881	亚泰集团	sz399001	0.745974895934547
319	sh600884	杉杉股份	sh000905	0.720165172574009
320	sh600886	国投电力	sh000001	0.597629830957635
321	sh600887	伊利股份	sh000300	0.50966903810224
322	sh600893	中航动力	sh000905	0.638759649283432
323	sh600894	广日股份	sh000905	0.693063893396675
324	sh600895	张江高科	sh000905	0.683479091829572
325	sh600900	长江电力	sh000016	0.596812310209768
326	sh600908	无锡银行	sh000001	0.178730977656737
327	sh600917	重庆燃气	sh000905	0.665286372550916
328	sh600919	江苏银行	sh000300	0.457154983513066
329	sh600926	杭州银行	sh000001	0.338104700152276
330	sh600936	广西广电	sz399006	0.427796752049608
331	sh600958	东方证券	sh000300	0.774734301776504
332	sh600959	江苏有线	sh000905	0.704929943019131
333	sh600967	北方创业	sh000905	0.599149740963975
334	sh600970	中材国际	sh000905	0.666703208328822
335	sh600971	恒源煤电	sh000001	0.707457016531348
336	sh600977	中国电影	sz399006	0.421965937809096
337	sh600978	宜华生活	sh000905	0.6410519888525
338	sh600981	汇鸿集团	sh000905	0.695216010823321
339	sh600993	马应龙	sh000905	0.730242308264432
340	sh600998	九州通	sh000905	0.620946393180078
341	sh600999	招商证券	sh000016	0.806273195674451
342	sh601000	唐山港	sh000905	0.570724800902616
343	sh601001	大同煤业	sh000001	0.710144538540619
344	sh601002	晋亿实业	sh000905	0.635586914398571
345	sh601006	大秦铁路	sh000300	0.688743867230875
346	sh601009	南京银行	sh000016	0.799442709511842
347	sh601010	文峰股份	sh000905	0.686932832409183
348	sh601012	隆基股份	sh000905	0.604972713376195
349	sh601016	节能风电	sh000905	0.540795747139247
350	sh601018	宁波港	sh000001	0.591982957126588
351	sh601021	春秋航空	sh000905	0.488592746553286
