V1	cummax	cummin	C	perc	potential
sz000596	61	57.4	59.9	0.694444444444444	-0.011686143572621
sz000598	5.05	4.9	4.93	0.199999999999996	0.00912778904665323
sz000600	7.2	6.75	6.78	0.0666666666666672	0.0287610619469025
sz000612	7.36	6.91	6.92	0.0222222222222217	0.0310693641618498
sz000617	13.49	12.91	12.93	0.0344827586206889	0.0208816705336428
sz000620	6.34	6.02	6.05	0.0937500000000007	0.0214876033057851
sz000623	21.17	20.55	20.68	0.209677419354837	0.00870406189555117
sz000625	11.55	11.08	11.16	0.170212765957447	0.0138888888888891
sz000627	7.8	7.48	7.59	0.343749999999999	0.00658761528326757
sz000630	2.64	2.58	2.59	0.166666666666663	0.00772200772200793
sz000651	47.56	45.13	46.8	0.687242798353907	-0.00972222222222219
sz000656	5.8	5.43	5.66	0.621621621621623	-0.00795053003533563
sz000661	188	169.3	169.83	0.0283422459893049	0.0519342872284048
sz000662	13.57	12.31	13.21	0.714285714285715	-0.0204390613171839
sz000666	18.29	18.29	18.29	NA	0
sz000671	8.05	7.55	7.69	0.280000000000001	0.0143042912873863
sz000676	13.1	11.87	13.1	1	-0.0469465648854962
sz000681	28.99	26.65	26.88	0.0982905982905985	0.0349702380952381
sz000683	2.72	2.62	2.68	0.6	-0.00373134328358216
sz000685	10.18	9.88	9.94	0.199999999999996	0.00905432595573452
sz000686	8.1	7.79	7.85	0.193548387096773	0.0121019108280256
sz000688	10.49	10	10.4	0.816326530612245	-0.0149038461538461
sz000690	8.4	8.06	8.14	0.235294117647059	0.0110565110565111
sz000697	20.2	19.25	19.57	0.336842105263158	0.00792028615227403
sz000703	23.41	21.07	21.6	0.226495726495727	0.0296296296296297
sz000709	3.55	3.35	3.36	0.049999999999999	0.0267857142857144
sz000710	57.95	48.81	55.75	0.759299781181619	-0.0425112107623318
sz000712	15.78	14.95	15.03	0.0963855421686748	0.02228875582169
sz000717	6.42	5.82	5.85	0.049999999999999	0.0461538461538462
sz000718	4.11	3.98	3.99	0.0769230769230785	0.0137844611528821
sz000723	5.43	5.43	5.43	NA	0
sz000725	5.38	5.13	5.13	0	0.0243664717348928
sz000727	2.45	2.33	2.35	0.166666666666667	0.0170212765957447
sz000728	9.47	9.05	9.08	0.0714285714285699	0.0198237885462558
sz000729	7.83	7.5	7.67	0.515151515151515	-0.000651890482398998
sz000732	28.48	25.9	25.99	0.0348837209302325	0.046171604463255
sz000738	17.82	16.12	16.97	0.499999999999999	0
sz000750	4.46	4.3	4.31	0.0624999999999986	0.0162412993039445
sz000758	5.88	5.66	5.68	0.0909090909090891	0.0158450704225352
sz000761	4.54	4.34	4.36	0.100000000000002	0.0183486238532109
sz000766	13.6	13.6	13.6	NA	0
sz000768	19.5	17.19	18.47	0.554112554112553	-0.00676773145641585
sz000776	16.91	16.32	16.32	0	0.0180759803921571
sz000778	4.99	4.74	4.75	0.0399999999999991	0.0242105263157895
sz000783	7.39	7.16	7.19	0.130434782608697	0.0118219749652295
sz000786	25.99	23.95	23.97	0.00980392156862725	0.0417188151856487
sz000792	14.65	13.05	14.03	0.612499999999999	-0.0128296507483961
sz000793	8.4	8.4	8.4	NA	0
sz000797	9.09	8.59	8.63	0.0800000000000018	0.0243337195828504
sz000800	10.45	9.94	10.21	0.529411764705885	-0.00146914789422137
sz000807	7.92	7.37	7.37	0	0.0373134328358209
sz000813	9.34	8.34	9.34	1	-0.0535331905781584
sz000820	19.4	17.13	17.49	0.158590308370044	0.0443110348770728
sz000825	5.9	5.45	5.47	0.0444444444444435	0.037477148080439
sz000826	29.3	28.4	28.97	0.633333333333332	-0.00414221608560572
sz000828	10.8	10.38	10.38	0	0.0202312138728322
sz000830	18.37	16.81	16.88	0.044871794871795	0.0420616113744077
sz000831	12.35	11.43	11.87	0.478260869565217	0.00168491996630182
sz000839	7.35	6.95	7.03	0.2	0.0170697012802277
sz000858	70.66	65.02	69.9	0.865248226950356	-0.0294706723891274
sz000869	39.5	38.15	39.05	0.666666666666665	-0.00576184379001266
sz000876	7.45	7.24	7.29	0.238095238095237	0.00754458161865568
sz000878	11.73	11.07	11.09	0.0303030303030297	0.0279531109107305
sz000881	12.01	11.52	11.59	0.142857142857143	0.0150992234685075
sz000883	4.37	4.26	4.29	0.272727272727274	0.00582750582750569
sz000887	18.48	17.72	17.86	0.18421052631579	0.0134378499440091
sz000895	25.86	24.11	25.6	0.851428571428573	-0.0240234375
sz000898	6.08	5.8	5.91	0.392857142857144	0.0050761421319796
sz000901	23.08	21.38	22.17	0.464705882352943	0.00270635994587254
sz000902	9.94	9.58	9.72	0.388888888888891	0.00411522633744843
sz000917	7.96	7.46	7.46	0	0.0335120643431635
sz000918	7.13	6.94	7.05	0.578947368421051	-0.00212765957446803
sz000921	12.35	11.18	11.2	0.0170940170940167	0.0504464285714288
sz000923	22.24	20.88	20.92	0.0294117647058844	0.0305927342256214
sz000930	13.34	13.34	13.34	NA	0
sz000932	7.96	7.27	7.32	0.072463768115943	0.0403005464480874
sz000933	7.85	7.31	7.35	0.0740740740740741	0.0312925170068028
sz000935	20.18	18.7	18.9	0.135135135135135	0.0285714285714285
sz000937	5.17	4.93	4.94	0.0416666666666694	0.0222672064777327
sz000938	81.74	74.25	77.35	0.41388518024032	0.00833872010342618
sz000939	4.99	4.99	4.99	NA	0
sz000951	14.75	14.13	14.25	0.193548387096773	0.0133333333333334
sz000959	4.98	4.7	4.71	0.0357142857142849	0.0276008492569002
sz000960	13.74	13	13.06	0.0810810810810817	0.0237366003062787
sz000961	7.56	6.96	7.32	0.600000000000001	-0.00819672131147553
sz000963	71.6	64.43	66.66	0.311018131101812	0.0203270327032703
sz000968	13.4	12.3	12.55	0.227272727272727	0.0239043824701195
sz000970	12.56	11.79	11.79	0	0.032654792196777
sz000975	15.37	14.27	15.09	0.745454545454546	-0.0178926441351889
sz000976	8.38	8.15	8.31	0.695652173913043	-0.00541516245487361
sz000977	24.95	22.53	23	0.194214876033058	0.0321739130434784
sz000979	1.7	1.61	1.62	0.111111111111111	0.0216049382716048
sz000980	9.9	9.39	9.53	0.274509803921566	0.0120671563483736
sz000981	9.54	8.71	9.13	0.506024096385543	-0.000547645125958507
sz000983	8.1	7.67	7.71	0.0930232558139536	0.0226977950713358
sz000987	11.3	10.44	10.63	0.220930232558141	0.0225776105362183
sz000988	15.95	15.01	15.08	0.0744680851063833	0.0265251989389921
sz000989	23.15	21.9	22.06	0.128	0.0210788757932909
sz000990	15.43	14.77	14.78	0.0151515151515148	0.0216508795669825
sz000997	21.58	20	20.15	0.0949367088607587	0.0317617866004962
sz000998	26.03	24.88	25.43	0.478260869565217	0.000983090837593403
sz000999	27.73	26.83	27	0.18888888888889	0.0103703703703704
sz001979	22.45	21.12	21.48	0.270676691729323	0.0141992551210428
sz002001	33.64	31.05	32.5	0.55984555984556	-0.00476923076923086
sz002002	6.34	6.34	6.34	NA	0
sz002004	6.57	6.38	6.47	0.473684210526314	0.000772797527047953
sz002007	30.68	29.38	29.94	0.430769230769232	0.00300601202404804
sz002008	55.7	52.9	53.05	0.053571428571428	0.0235626767200754
sz002010	17.1	16.46	16.67	0.328125000000001	0.00659868026394728
sz002013	12.15	11.57	11.68	0.189655172413792	0.0154109589041096
sz002018	5.39	5.39	5.39	NA	0
sz002019	22.4	20.96	21.58	0.430555555555554	0.00463392029657106
sz002024	14.63	13.81	14.2	0.475609756097559	0.00140845070422535
sz002027	13.27	11.76	11.98	0.145695364238411	0.0446577629382303
sz002028	16.94	16.19	16.67	0.640000000000001	-0.00629874025194965
sz002030	16.76	15.63	15.85	0.194690265486725	0.0217665615141955
sz002032	44.99	41	43.32	0.581453634085213	-0.00750230840258537
sz002035	28.4	25.88	27.8	0.761904761904763	-0.0237410071942447
sz002038	40.16	37.93	37.98	0.0224215246636759	0.0280410742496051
sz002041	11.88	10.77	11.58	0.729729729729729	-0.0220207253886011
sz002044	27.35	26.2	26.77	0.495652173913043	0.000186776242061981
sz002048	16.42	15.55	16.02	0.540229885057469	-0.00218476903870157
sz002049	54.26	48.21	48.69	0.0793388429752061	0.052269459848018
sz002050	18.05	16.65	17.53	0.628571428571429	-0.0102681118083285
sz002051	16.27	15.2	15.62	0.392523364485981	0.00736235595390533
sz002056	9.94	9.45	9.48	0.0612244897959207	0.0226793248945147
sz002065	8.66	8.08	8.1	0.0344827586206889	0.0333333333333334
sz002074	22.65	21.62	21.68	0.0582524271844649	0.0209870848708487
sz002075	16.12	16.12	16.12	NA	0
sz002078	10.95	10.28	10.46	0.268656716417913	0.0148183556405352
sz002080	21.29	19.85	19.9	0.0347222222222203	0.0336683417085428
sz002081	13.22	12.71	12.71	0	0.0200629425649095
sz002085	12.41	12.41	12.41	NA	0
sz002091	8.23	7.83	7.84	0.0249999999999994	0.0242346938775513
sz002092	12.01	11.39	11.67	0.451612903225806	0.00257069408740351
sz002108	9.65	9.07	9.09	0.0344827586206889	0.0297029702970297
sz002110	19.26	16.97	17.01	0.0174672489082981	0.0649617871840094
sz002120	49.69	44.84	46.84	0.412371134020619	0.00907344150298894
sz002121	8.59	8.59	8.59	NA	0
sz002127	16.05	15.1	15.29	0.199999999999999	0.0186396337475474
