D,T,O,H,L,C,V
2/10/2017,1118,3193.98,3194.52,3193.71,3194.29,66662
2/10/2017,1119,3193.3,3194.52,3193.3,3194.31,70925
2/10/2017,1120,3194.14,3194.45,3193.35,3193.66,64601
2/10/2017,1121,3193.6,3193.86,3193.05,3193.61,60974
2/10/2017,1122,3193.35,3193.82,3192.87,3192.87,67644
2/10/2017,1123,3193.43,3193.87,3192.72,3193,72908
2/10/2017,1124,3193.14,3193.48,3192.59,3193.02,75456
2/10/2017,1125,3192.66,3193.76,3192.66,3193.38,67850
2/10/2017,1126,3193.76,3194.09,3193.08,3194.09,86101
2/10/2017,1127,3193.93,3194.94,3193.72,3194.82,69450
2/10/2017,1128,3194.61,3195.57,3194.44,3195.57,73086
2/10/2017,1129,3195.54,3196.14,3195.12,3196.14,66496
2/10/2017,1300,3196.24,3196.76,3195.71,3196.74,88743
2/10/2017,1301,3197.26,3198.25,3197.26,3198.09,198282
2/10/2017,1302,3197.82,3198.15,3197.62,3198.15,69251
2/10/2017,1303,3197.64,3197.64,3196.72,3197.2,64754
2/10/2017,1304,3197.05,3197.27,3196.16,3196.74,65172
2/10/2017,1305,3196.87,3197.14,3196.25,3196.83,62422
2/10/2017,1306,3196.75,3196.92,3196.03,3196.33,59437
2/10/2017,1307,3196.56,3196.56,3195.79,3196.34,57455
2/10/2017,1308,3196,3196.81,3195.82,3196.6,56754
2/10/2017,1309,3196.39,3196.97,3195.93,3196.97,55053
2/10/2017,1310,3196.5,3197.03,3196.2,3196.48,62214
2/10/2017,1311,3196.72,3197.15,3196.07,3196.51,59539
2/10/2017,1312,3196.41,3197.24,3196.06,3197.24,68406
2/10/2017,1313,3196.88,3197.75,3196.84,3197.2,78040
2/10/2017,1314,3197.27,3198.25,3197.23,3198.25,84302
2/10/2017,1315,3198.35,3198.93,3197.78,3198.8,95539
2/10/2017,1316,3199.07,3199.87,3198.77,3199.08,88986
2/10/2017,1317,3199.23,3200.07,3199,3200.07,90678
