sz002030,13.14,12.86
sz002271,21.07,21.39
CSCO,0.0,0.0
sz002035,12.59,12.68
sz002032,65.56,66.88
sz300156,4.51,4.31
sz300159,6.48,6.55
sz002038,28.97,29.37
sh600926,8.86,8.82
sh600919,7.17,7.21
PDD,25.93,25.83
sz002280,5.07,5.04
sh603198,17.76,18.21
sz002041,6.57,6.63
sz300142,21.28,21.52
sz300383,18.42,18.56
sz002281,33.75,33.68
sz300144,22.0,22.15
sz002287,30.73,30.76
sz002044,18.55,18.69
sz300146,22.82,23.28
sz002285,6.21,6.17
sz300145,4.27,4.04
sz002049,40.8,40.15
sz002048,13.25,13.27
sh600936,5.08,4.91
sh600939,5.67,5.72
sh601872,4.67,4.74
sh601633,7.62,7.7
sh601877,27.0,27.22
sh601878,11.27,11.35
sh601636,4.49,4.57
sh603816,57.47,58.0
sz000712,13.95,13.92
sz000710,45.53,46.29
PFE,41.81,41.81
sz000951,18.09,16.99
sh600309,42.0,42.0
sh600549,16.11,15.69
sh600307,2.45,2.48
sz000718,3.88,3.89
sz000959,4.45,4.49
sh600548,9.6,9.67
sz000717,6.02,6.18
sh600547,31.1,30.97
sh600787,6.14,6.03
sh600545,8.17,8.18
sh600783,24.76,23.03
sh600782,6.32,6.43
sh600550,4.87,4.85
sh601886,9.42,9.6
sh601888,62.89,62.9
sz000961,9.3,9.47
sz300324,8.15,8.05
sz000960,12.2,12.31
sz300323,9.53,9.4
sz002901,34.27,34.69
sz000723,7.08,6.44
sz000963,33.5,33.75
sz000727,2.87,2.86
sz000968,13.1,13.2
sz000725,3.95,3.87
sz000729,6.51,6.76
sz000728,10.1,10.27
sh600317,2.82,2.83
sh600316,15.25,14.68
TOT,58.53,58.65
sh600315,32.38,32.6
sh600797,10.83,10.22
sh600312,8.92,9.0
sh600795,2.76,2.76
sh601880,2.36,2.35
sh601881,11.45,11.43
sh601898,5.26,5.34
sh603833,108.7,106.5
sh601899,3.55,3.56
sz300355,5.35,5.39
sz300113,17.02,17.41
sz300115,13.04,13.03
sz000970,10.22,10.38
sz300116,2.13,2.12
sz000976,5.33,5.42
sz000975,10.67,10.65
sz300118,10.41,10.55
sz000732,19.08,18.29
sz000738,15.94,15.72
sz000979,0.22,0.21
sz000977,25.25,24.9
sh600329,15.35,15.53
sh600568,2.92,2.93
sh600567,4.05,4.05
sh600325,8.89,8.73
sh600566,36.5,36.75
sh600565,3.67,3.71
sh600563,46.41,47.48
sh600320,4.11,4.17
sh600562,17.27,17.09
sh600572,9.1,8.96
sh600570,84.47,83.68
sh603603,19.99,20.01
sh601666,4.33,4.36
sh601668,6.28,6.37
sh601669,5.95,6.0
sz300104,3.08,3.07
sz000983,6.38,6.5
sz000981,4.86,4.5
sz000980,5.4,5.47
sz300347,63.42,65.5
sz000987,10.4,10.43
sz000503,23.1,21.0
sz000501,11.35,11.45
sz000989,13.48,13.33
sz000988,16.58,16.26
sh600339,5.19,4.95
sh600338,25.2,25.36
sh600337,4.92,5.0
sh600578,3.44,3.42
sh600335,7.93,8.05
sh600575,2.85,2.87
sh600332,39.6,40.2
sh600331,3.95,4.1
sh600981,5.2,5.04
sh600507,14.82,15.17
sz000918,7.34,7.25
sz000917,10.13,9.9
sh600748,9.4,9.45
sh600745,27.4,27.51
sh600503,4.69,4.77
sh600500,8.06,8.18
sh600741,20.87,21.26
sh601600,4.37,4.4
sh601601,33.06,33.45
sh600996,11.16,10.41
sh600998,16.22,16.37
sh600999,17.59,17.8
sh601607,20.03,19.79
sh601608,5.15,5.15
sz000921,12.9,12.11
TSM,39.7,39.85
sz300529,56.31,57.85
sz000923,15.7,15.9
sh600519,792.61,810.09
sh600518,10.92,10.73
sh600759,3.65,3.5
sh600516,23.71,24.08
sh600515,6.43,6.53
sh600755,9.18,8.85
sh600754,26.94,26.06
sh600511,25.5,25.58
sh600751,4.08,4.14
sh601611,9.47,8.97
sh601857,7.8,7.81
sz300315,4.22,4.21
sh601618,3.7,3.73
sz000932,7.82,8.0
sh601619,5.91,6.01
sz300317,7.16,7.2
sz300558,47.18,46.99
sz300316,16.3,14.82
sz000930,8.75,8.89
sz000935,19.2,19.11
sz000933,5.24,5.31
sh600528,12.4,12.76
sz000939,1.25,1.27
sz000938,44.59,44.35
sz000937,4.37,4.41
sh600525,7.14,7.05
sh600522,10.18,10.19
sh600521,16.66,16.13
sh601866,3.13,3.08
sh601628,29.57,29.6
sh603806,35.02,35.68
sz300308,58.28,59.26
sz000703,14.66,14.78
sz000709,3.52,3.56
NIO,5.74,5.75
sh600779,42.65,44.32
sh600535,23.38,23.64
sh600777,2.71,2.62
sh600771,34.0,34.21
sh600022,1.99,2.02
sh600021,9.16,9.06
sz000792,7.37,7.41
sh600260,24.58,24.25
sz000550,21.19,21.71
sh601117,6.44,6.42
sh601118,5.56,5.54
sz000553,11.7,11.72
sz000793,4.63,4.4
sz002736,13.35,13.48
sz300616,83.01,82.69
sz000555,13.84,13.55
sz000797,5.94,5.96
sz300618,83.07,84.87
sz002739,23.74,23.33
sz000559,6.95,7.01
sh600029,8.35,8.3
sh600028,6.05,6.06
sh600027,4.48,4.51
sh600269,4.62,4.59
sh600026,6.16,6.23
sh600267,11.27,11.47
sh600266,10.17,10.27
sh601111,9.94,9.97
sh600023,4.95,4.91
sh600031,12.8,12.99
sh600273,13.7,13.57
sh600030,24.23,24.63
sh600271,28.19,28.07
sh601127,17.25,17.47
sh601128,7.89,7.95
